14,3,10,8,24,9,2,7,5,21,4,1,11,23,15,6,13,16,18,19,17,12,25,22,20
2,18,6,12,17,1,11,4,10,25,3,7,5,20,14,8,15,9,23,22,16,13,19,24,21
1,5,20,11,16,3,6,13,19,14,12,9,8,22,17,7,2,21,24,25,4,10,23,18,15
9,7,22,19,15,17,8,16,23,24,13,25,2,18,21,4,1,12,10,20,3,6,5,11,14
4,13,21,25,23,15,12,22,18,20,10,6,24,16,19,5,3,11,14,17,2,1,8,7,9
11,4,3,13,10,2,15,17,9,7,5,8,6,21,16,1,25,22,12,23,24,18,14,20,19
5,2,7,14,12,18,13,10,8,6,1,3,19,4,9,16,21,20,17,24,22,23,11,15,25
6,1,8,9,20,11,4,3,14,23,15,22,25,7,24,19,5,2,13,18,21,17,16,10,12
21,16,15,24,19,22,1,5,25,12,2,23,20,17,18,3,11,10,4,14,13,9,6,8,7
22,17,18,23,25,16,24,21,20,19,11,12,10,14,13,15,7,6,8,9,1,5,2,3,4
12,11,1,10,9,8,3,14,4,2,18,17,7,6,5,20,16,13,19,15,23,22,21,25,24
7,6,14,4,5,13,9,15,12,11,8,2,1,3,25,22,24,23,21,10,20,19,18,17,16
3,22,2,16,8,5,7,6,1,10,24,21,23,19,20,25,17,18,9,4,15,14,13,12,11
17,23,19,15,13,24,20,25,21,18,22,11,16,9,4,14,12,1,3,2,10,8,7,5,6
24,21,25,20,18,23,22,19,17,16,14,15,12,13,10,11,6,5,7,8,9,2,1,4,3
16,10,4,1,3,6,19,12,11,5,9,18,17,8,7,2,14,15,20,13,25,24,22,21,23
13,15,12,2,11,14,10,9,7,8,6,5,4,1,3,23,22,24,25,21,19,20,17,16,18
8,9,5,7,6,4,21,1,2,3,25,20,22,24,23,18,19,17,16,11,14,15,12,13,10
19,20,17,18,14,25,23,24,22,13,21,16,15,10,2,12,8,4,1,3,11,7,9,6,5
25,24,23,21,22,20,17,18,16,15,19,13,14,11,12,9,10,7,6,5,8,3,4,1,2
20,19,13,3,1,12,16,11,6,4,17,10,9,2,8,21,18,14,15,7,5,25,24,23,22
18,12,11,5,2,10,14,8,13,9,7,4,3,15,1,24,23,25,22,16,6,21,20,19,17
10,8,9,6,4,7,5,2,3,1,23,24,21,25,22,17,20,19,11,12,18,16,15,14,13
15,14,16,17,7,21,25,23,24,22,20,19,18,5,6,13,4,3,2,1,12,11,10,9,8
23,25,24,22,21,19,18,20,15,17,16,14,13,12,11,10,9,8,5,6,7,4,3,2,1
7,2,4,5,10,1,9,15,20,18,17,8,6,19,13,3,12,11,23,22,14,16,21,24,25
3,16,11,15,25,4,7,8,19,12,5,10,1,21,9,6,2,14,18,24,13,17,22,20,23
8,6,9,17,22,10,2,5,16,23,4,7,3,14,24,1,13,25,20,21,11,12,15,19,18
13,14,18,20,24,6,3,21,11,25,12,2,15,23,22,17,16,5,4,19,1,7,9,10,8
12,21,19,23,1,17,14,13,22,24,11,16,25,20,18,15,7,9,10,8,6,2,5,3,4
2,5,17,11,8,7,1,19,3,13,9,15,10,4,6,16,14,12,22,18,21,23,20,25,24
6,4,3,9,15,2,12,14,10,11,7,1,21,8,5,13,25,23,24,20,18,22,19,16,17
1,7,10,24,18,8,16,6,9,4,2,25,20,22,23,21,3,19,5,17,12,11,14,15,13
16,12,20,14,13,15,25,23,21,22,3,24,19,18,17,2,1,8,11,4,7,6,10,5,9
21,19,22,25,23,24,17,20,18,5,16,11,14,13,12,7,6,10,9,15,2,1,8,4,3
5,17,15,2,4,12,11,1,6,9,10,3,18,7,8,14,22,20,13,16,24,21,25,23,19
11,1,16,3,9,14,8,7,13,10,6,21,2,5,4,12,23,24,19,25,22,20,17,18,15
10,20,6,8,7,25,5,2,4,3,1,23,22,24,19,18,21,17,15,9,16,13,11,14,12
14,13,25,18,12,21,24,22,23,19,20,17,11,15,16,4,5,2,1,3,8,10,6,9,7
23,22,24,19,21,18,20,16,15,17,13,14,9,12,25,10,11,7,8,6,3,5,4,1,2
19,18,1,16,17,11,10,9,5,6,8,4,7,2,3,20,15,13,12,14,23,25,24,22,21
4,3,14,10,2,13,15,12,8,7,23,6,5,9,1,25,24,22,21,11,20,19,18,17,16
9,8,7,6,5,3,23,4,1,2,21,22,24,25,20,19,18,16,17,10,15,14,13,12,11
15,23,12,13,11,22,21,25,24,20,18,19,16,17,14,5,4,3,2,1,10,9,7,8,6
24,25,21,22,20,19,18,17,14,16,15,12,13,10,11,8,9,6,7,23,5,4,3,2,1
18,11,5,4,3,16,13,10,7,1,19,9,8,6,2,22,17,15,14,12,25,24,23,21,20
17,10,2,1,14,9,6,11,12,8,24,5,4,3,15,23,20,21,25,7,19,18,16,13,22
22,9,8,7,6,5,4,3,2,14,25,20,23,1,21,24,19,18,16,13,17,15,12,11,10
20,15,13,12,19,23,22,24,25,21,14,18,17,16,7,11,10,4,3,2,9,8,1,6,5
25,24,23,21,16,20,19,18,17,15,22,13,12,11,10,9,8,1,6,5,4,3,2,7,14
