21,22,14,0,25,7,1,0,13,0,10,0,6,0,17,2,12,0,19,0,0,23,20,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,25,0,0
9,0,0,0,23,3,0,0,20,19,0,0,22,15,0,6,0,0,18,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,10,11,16,22,0,18,0,2,0,0,14,25,3,17,0,13,20,19,1,5,9,0
0,5,1,0,0,23,20,0,11,4,13,7,0,3,14,0,21,0,9,0,18,16,22,19,0
0,0,0,0,0,0,0,0,0,9,8,0,0,17,18,0,0,0,0,0,0,21,11,0,0
0,0,0,0,22,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,25,0,18,13,0,0,19,0,16,20,24,12,9,14,6,0,8,0,0,0,7,5,4
12,6,11,0,10,2,15,0,5,13,4,8,1,9,0,16,14,0,20,0,24,18,21,25,19
8,0,0,13,4,19,16,0,9,3,12,25,2,5,6,18,10,0,0,24,23,22,17,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,14,0,0,0,0
0,0,20,0,15,22,24,0,25,11,21,0,14,0,13,7,1,0,0,0,0,0,6,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,3,9,11,6,7,8,5,0,4,1,2,10,13,0,14,12,0,24,23,22,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,5,4,0,2,1,24,22,23,0,21,0,0,0,0,0,15,14,13,0,11
14,19,0,0,12,24,0,23,22,21,20,18,17,0,11,5,4,0,2,1,10,0,8,7,6
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,3,0,1,0,0,12,0,0,19,0,9,8,7,21,20,0,0,14,6,25,24,23,22
16,12,0,0,0,11,0,8,0,7,14,0,3,2,1,24,23,0,0,13,21,20,19,18,0
23,0,0,8,7,6,3,4,1,2,25,21,20,22,0,19,0,0,0,5,16,15,0,13,12
0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,10,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
11,21,6,14,15,3,2,4,20,23,1,0,0,18,0,7,0,0,0,19,9,22,17,0,25
0,4,0,0,0,8,1,0,0,0,12,0,9,21,15,24,11,0,22,0,0,16,5,0,0
0,0,0,0,25,9,0,0,0,0,4,0,0,8,13,0,5,0,0,0,1,7,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2,10,0,11,3,0,14,9,0,0,21,5,18,16,12,0,0,0,0,13,0,25,22
1,17,12,0,13,6,0,0,0,8,7,0,0,10,9,2,0,0,0,0,18,23,20,21,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,22,0,0,0,0,25,0,23,0,17,1,0,0,0,0,0,2,7,9,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,16,11,9,0,0,0,10,0,14,0,13,22,0,0,0,23,21,25,20,0
14,0,15,0,0,13,12,0,0,7,0,0,0,3,8,21,24,0,0,20,22,17,0,19,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12,15,0,0
0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0
0,0,0,0,0,21,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
0,15,11,0,4,7,10,0,0,13,0,0,6,0,2,25,0,0,20,5,0,0,19,0,0
18,0,0,0,7,4,0,0,1,3,19,0,0,20,23,22,0,0,0,0,14,15,12,13,10
0,0,0,0,10,0,0,0,24,0,0,0,16,15,0,0,0,0,1,2,11,8,0,0,0
23,0,24,0,0,19,20,17,0,0,14,13,12,11,10,9,8,0,6,0,4,5,2,3,1
0,19,18,0,17,0,9,0,7,6,0,0,3,2,0,0,14,0,12,11,0,24,23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,0,0,0,5,0,0,0,0,0,22,24,25,21,20,19,0,17,0,0,14,13,12,0
15,0,13,0,11,23,22,24,25,21,20,0,18,17,16,5,0,0,2,1,0,9,8,0,0
25,24,23,22,21,0,0,18,17,16,15,0,13,0,0,10,0,0,7,6,5,4,1,0,0
