0,5,10,0,1,0,0,0,6,0,3,0,0,0,0,4
14,0,0,3,0,0,12,0,0,5,4,13,0,0,11,7
0,6,7,8,0,0,0,4,15,9,10,0,0,13,12,16
13,0,4,0,0,0,10,0,0,0,0,8,5,14,3,15
0,9,3,0,2,0,0,8,0,13,0,16,10,0,0,0
1,14,8,13,0,5,0,0,4,0,0,3,16,0,15,0
6,0,12,5,16,0,4,0,10,0,0,15,0,9,0,8
10,15,0,11,14,13,0,0,5,8,6,0,0,1,0,3
0,0,0,1,9,11,6,7,12,10,0,0,14,15,16,13
8,0,6,0,0,3,2,1,14,0,15,5,0,11,0,9
0,0,11,0,0,0,0,14,13,0,0,1,0,0,0,0
16,13,0,15,0,10,8,0,0,6,0,7,4,0,1,2
0,0,1,2,0,8,0,0,0,0,9,0,15,0,13,0
0,8,5,0,3,0,0,0,16,15,13,0,11,12,0,10
12,0,9,0,0,0,0,13,0,4,1,0,0,8,5,0
0,16,0,0,11,12,9,0,8,0,5,6,3,0,0,1
12,11,4,15,0,10,3,0,0,7,8,2,0,6,14,1
0,0,0,0,0,0,7,8,5,4,15,0,13,0,0,0
0,5,9,0,11,0,0,0,1,14,13,12,3,10,0,15
0,0,0,16,0,5,0,0,3,6,0,10,2,0,7,0
5,1,11,0,0,8,9,0,2,0,7,0,14,0,16,12
0,0,7,4,0,1,5,3,0,0,12,0,0,15,0,8
0,14,0,8,15,0,12,10,11,0,0,6,9,0,0,7
0,10,0,12,7,14,16,0,9,0,4,8,1,2,0,6
0,4,1,0,0,9,0,0,0,0,11,0,15,16,13,14
0,8,5,6,0,0,1,2,0,15,0,0,0,12,9,10
0,0,12,0,0,16,0,0,6,0,1,0,0,8,0,0
0,0,13,14,0,0,0,0,8,9,0,0,0,1,0,0
4,3,0,1,0,0,6,0,0,0,10,9,0,14,0,13
0,7,6,5,0,0,0,1,15,16,14,13,0,0,10,9
0,0,0,9,16,0,0,14,0,3,2,0,8,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,4,3,1,2
